Route Id,Latitude,Longitude,Speed,Timestamp,Id,Direction,Agency Name,Agency Id,Route Short Name,Trip Headsign
320,-34.53646,-58.4664459,1.111111,1568158614,31022,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
379,-34.70883,-58.45536,0.555555,1568157598,31023,1,MAYO S.A.T.A.,46,141B,Villa Albertina
2666,-34.51782,-58.5617256,0.555555,1568158614,31028,1,LA PRIMERA DE MARTINEZ S.A,133,314B,Villa Hidalgo (Amarillo)
379,-34.70858,-58.45492,0.555555,1568158614,31029,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
379,-34.62419,-58.4502144,0.555555,1568158614,31030,1,MAYO S.A.T.A.,46,141B,Pza. Italia x Bº Gral. Savio
320,-34.60075,-58.3902054,1.111111,1568158614,31035,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
378,-34.71015,-58.4546661,6.111111,1568157268,31036,1,MAYO S.A.T.A.,46,141A,Villa Albertina
379,-34.68094,-58.46638,5.277777,1568158614,31042,1,MAYO S.A.T.A.,46,141B,Villa Albertina
379,-34.64487,-58.46493,9.444444,1568158614,31048,1,MAYO S.A.T.A.,46,141B,Villa Albertina
379,-34.66325,-58.48874,9.444444,1568158614,31050,1,MAYO S.A.T.A.,46,141B,Villa Albertina
378,-34.61793,-58.436615,9.444444,1568158614,31052,1,MAYO S.A.T.A.,46,141A,Villa Albertina
379,-34.60873,-58.43878,5,1568158586,31053,1,MAYO S.A.T.A.,46,141B,Villa Albertina
2665,-34.5074,-58.53594,6.111111,1568158614,31061,1,LA PRIMERA DE MARTINEZ S.A,133,314A,Pte.Saaverda (Blanco)
379,-34.58834,-58.4210854,7.222222,1568158614,31063,1,MAYO S.A.T.A.,46,141B,Villa Albertina
6301,-34.69898,-58.4806252,4.722222,1568158524,31065,1,MAYO S.A.T.A.,46,36A,Villa Celina
320,-34.59375,-58.41263,6.111111,1568158614,31070,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
320,-34.53623,-58.4666939,6.111111,1568158616,31076,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
320,-34.53648,-58.46641,6.111111,1568158616,31082,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29A,a La Boca
321,-34.59975,-58.39704,0.277777,1568158466,31089,1,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,47,29B,Pque. Pte. Sarmiento
